,ID,ASIN,TITLE,GROUP,SALESRANK,CATEGORIES,NUM_SIMILAR,SIMILAR_PRODUCT_ASIN,REVIEWS_TOTAL,REVIEWS_DOWNLOADED,REVIEWS_AVG_RATING
6,6,0486220125,HOW THE OTHER HALF LIVES: STUDIES AMONG THE TENEMENTS OF NEW YORK,BOOK,188784,5,5,0486401960  0452283612  0486229076  0714840343  0374528993,17,17,4
8,8,0231118597,LOSING MATT SHEPARD,BOOK,277409,4,5,B000067D0Y  0375727191  080148605X  1560232579  0300089023,15,15,4.5
18,18,B000007R0T,SOL TO SOUL,MUSIC,109301,1,5,B000059QC1  B00000JQIE  B00029J1X6  B0006TRO68  B000002L7F,15,15,5
33,33,0439240751,"DOUBLE JEOPARDY (T*WITCHES, 6)",BOOK,97166,6,5,0439492327  0439240727  0439240719  0439240700  0061062499,4,4,5
34,34,B000002O8D,"SOUTHERN BY THE GRACE OF GOD: LYNYRD SKYNYRD TRIBUTE TOUR, VOL. 1",MUSIC,89264,5,5,B0000061RJ  B000294SBQ  B000001Y9Z  B000002IRC  B00005NWLO,6,6,4
93,93,0965740056,BIZPRICERÂ¿ BUSINESS VALUATION MANUAL W/SOFTWARE,BOOK,1485593,4,0,,0,0,0
99,99,0071402306,AN EMPLOYEE'S GUIDE TO STOCK OPTIONS,BOOK,228734,9,5,0967498139  076455364X  0966889924  0471394815  0595169252,0,0,0
297,297,9871071361,THE RUROUNI KENSHIN NB: 6,BOOK,786503,4,0,,1,1,3
302,302,0062514547,"SLOWING DOWN TO THE SPEED OF LIFE: HOW TO CREATE A MORE PEACEFUL, SIMPLER LIFE FROM THE INSIDE OUT",BOOK,13592,7,5,1577310640  0452272424  0071402497  0062515896  0452273838,14,14,4.5
303,303,B0000506TM,SINGIN' SOME SOUL,MUSIC,72828,6,5,B00004TWBP  B00005J8ZN  B00004TWEJ  B000024UM2  B00004TWEK,2,2,5
337,337,0738810991,THE FACE OF THE RIVER,BOOK,1892317,2,0,,3,3,5
342,342,0443071209,CLINICAL REFLEXOLOGY: A GUIDE FOR HEALTH PROFESSIONALS,BOOK,596600,5,0,,0,0,0
481,481,1401015786,A MAJOR CASE: A NOVEL BY PETE DEER,BOOK,2860756,1,0,,14,14,4.5
517,517,B00000K2C5,SACRED STEEL LIVE!,MUSIC,86612,7,5,B00006IXGI  B00005M98F  B0000A4GC9  B00005QDIH  B0000001L7,7,7,5
626,626,0323019463,WONG'S ESSENTIALS OF PEDIATRIC NURSING (WORKBOOK),BOOK,61550,2,5,0323012507  0805391762  0130455296  0323019110  0781731933,1,1,4
902,902,0792274326,THE NATIONAL GEOGRAPHIC TRAVELER: FLORIDA (NATIONAL GEOGRAPHIC TRAVELER),BOOK,264743,6,5,0792274334  079227430X  0789495643  0792279476  0792275640,1,1,5
1241,1241,0333627806,ACCESSIBLE PHYSICS,BOOK,2924393,0,0,,0,0,0
1436,1436,B000001BXM,SOLO PIENSO EN TI,MUSIC,264054,9,0,,2,2,5
1964,1964,0914667106,GOURMET VINEGARS: HOW TO MAKE AND COOK WITH THEM,BOOK,734946,1,0,,1,1,4
3661,3661,0838582389,RADIOGRAPHIC ANATOMY AND POSITIONING,BOOK,800045,4,0,,3,3,2
